Command: /home/users9/ma747863/526LSP22/Lab9/./simv -l lab9.log
Chronologic VCS simulator copyright 1991-2017
Contains Synopsys proprietary information.
Compiler version N-2017.12-SP2-2_Full64; Runtime version N-2017.12-SP2-2_Full64;  May 21 21:46 2022
VCD+ Writer N-2017.12-SP2-2_Full64 Copyright (c) 1991-2017 by Synopsys Inc.
0: clk: 0, rst_n: 1, wr_en: 0, rd_en: 0, data_in: 0, data_out: x, count: x, empty: x, almostEmpty: x, full: x, almostFull: x, overflow: x, underflow: x, valid: x
55: clk: 1, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 5, data_out: x, count: 5, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 0
60: clk: 0, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 6, data_out: x, count: 5, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 0
65: clk: 1, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 6, data_out: x, count: 6, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 0
70: clk: 0, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 7, data_out: x, count: 6, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 0
75: clk: 1, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 7, data_out: x, count: 7, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 0
80: clk: 0, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 8, data_out: x, count: 7, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 0
85: clk: 1, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 8, data_out: x, count: 8, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 0
90: clk: 0, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 9, data_out: x, count: 8, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 0
95: clk: 1, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 9, data_out: x, count: 9, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 0
100: clk: 0, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 10, data_out: x, count: 9, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 0
105: clk: 1, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 10, data_out: x, count: 10, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 0
110: clk: 0, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 11, data_out: x, count: 10, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 0
115: clk: 1, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 11, data_out: x, count: 11, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 0
120: clk: 0, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 12, data_out: x, count: 11, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 0
125: clk: 1, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 12, data_out: x, count: 12, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 0
130: clk: 0, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 13, data_out: x, count: 12, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 0
135: clk: 1, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 13, data_out: x, count: 13, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 0
140: clk: 0, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 14, data_out: x, count: 13, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 0
145: clk: 1, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 14, data_out: x, count: 14, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 0
150: clk: 0, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 15, data_out: x, count: 14, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 0
155: clk: 1, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 15, data_out: x, count: 15, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 0
160: clk: 0, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 16, data_out: x, count: 15, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 0
165: clk: 1, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 16, data_out: x, count: 16, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 0
170: clk: 0, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 17, data_out: x, count: 16, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 0
175: clk: 1, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 17, data_out: x, count: 17, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 0
180: clk: 0, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 18, data_out: x, count: 17, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 0
185: clk: 1, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 18, data_out: x, count: 18, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 0
190: clk: 0, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 19, data_out: x, count: 18, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 0
195: clk: 1, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 19, data_out: x, count: 19, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 0
200: clk: 0, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 20, data_out: x, count: 19, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 0
205: clk: 1, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 20, data_out: x, count: 20, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 0
210: clk: 0, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 21, data_out: x, count: 20, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 0
215: clk: 1, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 21, data_out: x, count: 21, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 0
220: clk: 0, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 22, data_out: x, count: 21, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 0
225: clk: 1, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 22, data_out: x, count: 22, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 0
230: clk: 0, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 23, data_out: x, count: 22, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 0
235: clk: 1, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 23, data_out: x, count: 23, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 0
240: clk: 0, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 24, data_out: x, count: 23, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 0
245: clk: 1, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 24, data_out: x, count: 24, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 0
250: clk: 0, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 25, data_out: x, count: 24, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 0
255: clk: 1, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 25, data_out: x, count: 25, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 0
260: clk: 0, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 26, data_out: x, count: 25, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 0
265: clk: 1, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 26, data_out: x, count: 26, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 0
270: clk: 0, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 27, data_out: x, count: 26, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 0
275: clk: 1, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 27, data_out: x, count: 27, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 0
280: clk: 0, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 28, data_out: x, count: 27, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 0
285: clk: 1, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 28, data_out: x, count: 28, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 0
290: clk: 0, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 29, data_out: x, count: 28, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 0
295: clk: 1, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 29, data_out: x, count: 29, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 0
300: clk: 0, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 30, data_out: x, count: 29, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 0
305: clk: 1, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 30, data_out: x, count: 30, empty: 0, almostEmpty: 0, full: 0, almostFull: 1, overflow: 0, underflow: 0, valid: 0
310: clk: 0, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 31, data_out: x, count: 30, empty: 0, almostEmpty: 0, full: 0, almostFull: 1, overflow: 0, underflow: 0, valid: 0
315: clk: 1, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 31, data_out: x, count: 31, empty: 0, almostEmpty: 0, full: 0, almostFull: 1, overflow: 0, underflow: 0, valid: 0
320: clk: 0, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 32, data_out: x, count: 31, empty: 0, almostEmpty: 0, full: 0, almostFull: 1, overflow: 0, underflow: 0, valid: 0
325: clk: 1, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 32, data_out: x, count: 32, empty: 0, almostEmpty: 0, full: 1, almostFull: 0, overflow: 0, underflow: 0, valid: 0
 
Read to all Memory Locations
330: clk: 0, rst_n: 0, wr_en: 0, rd_en: 1, data_in: 33, data_out: x, count: 32, empty: 0, almostEmpty: 0, full: 1, almostFull: 0, overflow: 0, underflow: 0, valid: 0
335: clk: 1, rst_n: 0, wr_en: 0, rd_en: 1, data_in: 33, data_out: 1, count: 31, empty: 0, almostEmpty: 0, full: 0, almostFull: 1, overflow: 0, underflow: 0, valid: 1
340: clk: 0, rst_n: 0, wr_en: 0, rd_en: 1, data_in: 34, data_out: 1, count: 31, empty: 0, almostEmpty: 0, full: 0, almostFull: 1, overflow: 0, underflow: 0, valid: 1
345: clk: 1, rst_n: 0, wr_en: 0, rd_en: 1, data_in: 34, data_out: 2, count: 30, empty: 0, almostEmpty: 0, full: 0, almostFull: 1, overflow: 0, underflow: 0, valid: 1
350: clk: 0, rst_n: 0, wr_en: 0, rd_en: 1, data_in: 35, data_out: 2, count: 30, empty: 0, almostEmpty: 0, full: 0, almostFull: 1, overflow: 0, underflow: 0, valid: 1
355: clk: 1, rst_n: 0, wr_en: 0, rd_en: 1, data_in: 35, data_out: 3, count: 29, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 1
360: clk: 0, rst_n: 0, wr_en: 0, rd_en: 1, data_in: 36, data_out: 3, count: 29, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 1
365: clk: 1, rst_n: 0, wr_en: 0, rd_en: 1, data_in: 36, data_out: 4, count: 28, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 1
370: clk: 0, rst_n: 0, wr_en: 0, rd_en: 1, data_in: 37, data_out: 4, count: 28, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 1
375: clk: 1, rst_n: 0, wr_en: 0, rd_en: 1, data_in: 37, data_out: 5, count: 27, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 1
380: clk: 0, rst_n: 0, wr_en: 0, rd_en: 1, data_in: 38, data_out: 5, count: 27, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 1
385: clk: 1, rst_n: 0, wr_en: 0, rd_en: 1, data_in: 38, data_out: 6, count: 26, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 1
390: clk: 0, rst_n: 0, wr_en: 0, rd_en: 1, data_in: 39, data_out: 6, count: 26, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 1
395: clk: 1, rst_n: 0, wr_en: 0, rd_en: 1, data_in: 39, data_out: 7, count: 25, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 1
400: clk: 0, rst_n: 0, wr_en: 0, rd_en: 1, data_in: 40, data_out: 7, count: 25, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 1
405: clk: 1, rst_n: 0, wr_en: 0, rd_en: 1, data_in: 40, data_out: 8, count: 24, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 1
410: clk: 0, rst_n: 0, wr_en: 0, rd_en: 1, data_in: 41, data_out: 8, count: 24, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 1
415: clk: 1, rst_n: 0, wr_en: 0, rd_en: 1, data_in: 41, data_out: 9, count: 23, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 1
420: clk: 0, rst_n: 0, wr_en: 0, rd_en: 1, data_in: 42, data_out: 9, count: 23, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 1
425: clk: 1, rst_n: 0, wr_en: 0, rd_en: 1, data_in: 42, data_out: 10, count: 22, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 1
430: clk: 0, rst_n: 0, wr_en: 0, rd_en: 1, data_in: 43, data_out: 10, count: 22, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 1
435: clk: 1, rst_n: 0, wr_en: 0, rd_en: 1, data_in: 43, data_out: 11, count: 21, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 1
440: clk: 0, rst_n: 0, wr_en: 0, rd_en: 1, data_in: 44, data_out: 11, count: 21, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 1
445: clk: 1, rst_n: 0, wr_en: 0, rd_en: 1, data_in: 44, data_out: 12, count: 20, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 1
450: clk: 0, rst_n: 0, wr_en: 0, rd_en: 1, data_in: 45, data_out: 12, count: 20, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 1
455: clk: 1, rst_n: 0, wr_en: 0, rd_en: 1, data_in: 45, data_out: 13, count: 19, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 1
460: clk: 0, rst_n: 0, wr_en: 0, rd_en: 1, data_in: 46, data_out: 13, count: 19, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 1
465: clk: 1, rst_n: 0, wr_en: 0, rd_en: 1, data_in: 46, data_out: 14, count: 18, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 1
470: clk: 0, rst_n: 0, wr_en: 0, rd_en: 1, data_in: 47, data_out: 14, count: 18, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 1
475: clk: 1, rst_n: 0, wr_en: 0, rd_en: 1, data_in: 47, data_out: 15, count: 17, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 1
480: clk: 0, rst_n: 0, wr_en: 0, rd_en: 1, data_in: 48, data_out: 15, count: 17, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 1
485: clk: 1, rst_n: 0, wr_en: 0, rd_en: 1, data_in: 48, data_out: 16, count: 16, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 1
490: clk: 0, rst_n: 0, wr_en: 0, rd_en: 1, data_in: 49, data_out: 16, count: 16, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 1
495: clk: 1, rst_n: 0, wr_en: 0, rd_en: 1, data_in: 49, data_out: 17, count: 15, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 1
500: clk: 0, rst_n: 0, wr_en: 0, rd_en: 1, data_in: 50, data_out: 17, count: 15, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 1
505: clk: 1, rst_n: 0, wr_en: 0, rd_en: 1, data_in: 50, data_out: 18, count: 14, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 1
510: clk: 0, rst_n: 0, wr_en: 0, rd_en: 1, data_in: 51, data_out: 18, count: 14, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 1
515: clk: 1, rst_n: 0, wr_en: 0, rd_en: 1, data_in: 51, data_out: 19, count: 13, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 1
520: clk: 0, rst_n: 0, wr_en: 0, rd_en: 1, data_in: 52, data_out: 19, count: 13, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 1
525: clk: 1, rst_n: 0, wr_en: 0, rd_en: 1, data_in: 52, data_out: 20, count: 12, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 1
530: clk: 0, rst_n: 0, wr_en: 0, rd_en: 1, data_in: 53, data_out: 20, count: 12, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 1
535: clk: 1, rst_n: 0, wr_en: 0, rd_en: 1, data_in: 53, data_out: 21, count: 11, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 1
540: clk: 0, rst_n: 0, wr_en: 0, rd_en: 1, data_in: 54, data_out: 21, count: 11, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 1
545: clk: 1, rst_n: 0, wr_en: 0, rd_en: 1, data_in: 54, data_out: 22, count: 10, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 1
550: clk: 0, rst_n: 0, wr_en: 0, rd_en: 1, data_in: 55, data_out: 22, count: 10, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 1
555: clk: 1, rst_n: 0, wr_en: 0, rd_en: 1, data_in: 55, data_out: 23, count: 9, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 1
560: clk: 0, rst_n: 0, wr_en: 0, rd_en: 1, data_in: 56, data_out: 23, count: 9, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 1
565: clk: 1, rst_n: 0, wr_en: 0, rd_en: 1, data_in: 56, data_out: 24, count: 8, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 1
570: clk: 0, rst_n: 0, wr_en: 0, rd_en: 1, data_in: 57, data_out: 24, count: 8, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 1
575: clk: 1, rst_n: 0, wr_en: 0, rd_en: 1, data_in: 57, data_out: 25, count: 7, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 1
580: clk: 0, rst_n: 0, wr_en: 0, rd_en: 1, data_in: 58, data_out: 25, count: 7, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 1
585: clk: 1, rst_n: 0, wr_en: 0, rd_en: 1, data_in: 58, data_out: 26, count: 6, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 1
590: clk: 0, rst_n: 0, wr_en: 0, rd_en: 1, data_in: 59, data_out: 26, count: 6, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 1
595: clk: 1, rst_n: 0, wr_en: 0, rd_en: 1, data_in: 59, data_out: 27, count: 5, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 1
600: clk: 0, rst_n: 0, wr_en: 0, rd_en: 1, data_in: 60, data_out: 27, count: 5, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 1
605: clk: 1, rst_n: 0, wr_en: 0, rd_en: 1, data_in: 60, data_out: 28, count: 4, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 1
610: clk: 0, rst_n: 0, wr_en: 0, rd_en: 1, data_in: 61, data_out: 28, count: 4, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 1
615: clk: 1, rst_n: 0, wr_en: 0, rd_en: 1, data_in: 61, data_out: 29, count: 3, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 1
620: clk: 0, rst_n: 0, wr_en: 0, rd_en: 1, data_in: 62, data_out: 29, count: 3, empty: 0, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 1
625: clk: 1, rst_n: 0, wr_en: 0, rd_en: 1, data_in: 62, data_out: 30, count: 2, empty: 0, almostEmpty: 1, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 1
630: clk: 0, rst_n: 0, wr_en: 0, rd_en: 1, data_in: 63, data_out: 30, count: 2, empty: 0, almostEmpty: 1, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 1
635: clk: 1, rst_n: 0, wr_en: 0, rd_en: 1, data_in: 63, data_out: 31, count: 1, empty: 0, almostEmpty: 1, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 1
640: clk: 0, rst_n: 0, wr_en: 0, rd_en: 1, data_in: 64, data_out: 31, count: 1, empty: 0, almostEmpty: 1, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 1
645: clk: 1, rst_n: 0, wr_en: 0, rd_en: 1, data_in: 64, data_out: 32, count: 0, empty: 1, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 1
 
Simultaneous Read and Write in the Middle.
Write for next 16 Clock Cycles
650: clk: 0, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 65, data_out: 32, count: 0, empty: 1, almostEmpty: 0, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 1
655: clk: 1, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 65, data_out: 32, count: 1, empty: 0, almostEmpty: 1, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 1
660: clk: 0, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 66, data_out: 32, count: 1, empty: 0, almostEmpty: 1, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 1
665: clk: 1, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 66, data_out: 32, count: 2, empty: 0, almostEmpty: 1, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 1
670: clk: 0, rst_n: 0, wr_en: 1, rd_en: 0, data_in: 67, data_out: 32, count: 2, empty: 0, almostEmpty: 1, full: 0, almostFull: 0, overflow: 0, underflow: 0, valid: 1
